car_age,experience,speed,risk
6.0,6.0,34.0,12.104906556663604
3.0,20.0,135.0,11.754616887955677
12.0,8.0,,10.50516057410237
14.0,38.0,70.0,9.963147357530811
10.0,17.0,57.0,8.363714329994103
7.0,3.0,36.0,5.343267776411477
12.0,24.0,102.0,8.86617682797267
4.0,13.0,101.0,3.176295591970711
6.0,8.0,41.0,6.749597293443408
,25.0,63.0,10.163929427947107
2.0,,62.0,8.401874083609988
6.0,19.0,77.0,3.382009728758356
,,52.0,4.249076007318305
10.0,6.0,91.0,16.874778077101467
7.0,7.0,117.0,7.843050133834956
4.0,34.0,66.0,-3.67536392684035
3.0,13.0,128.0,12.195061196858992
7.0,16.0,73.0,2.562781386000367
7.0,35.0,133.0,17.03557807243393
2.0,39.0,115.0,1.5833177124192996
,3.0,120.0,10.465063872975598
4.0,1.0,64.0,7.093229224385853
1.0,5.0,94.0,8.164386606243536
7.0,3.0,128.0,13.710858258007985
11.0,28.0,130.0,0.7420016515636796
13.0,,76.0,18.038702653831933
,25.0,107.0,7.412583299941107
1.0,33.0,32.0,-2.2968822279257934
15.0,9.0,30.0,15.989367561082826
11.0,35.0,34.0,-2.893022347334187
4.0,13.0,119.0,7.63836439740879
0.0,,43.0,1.2970782435957129
11.0,14.0,132.0,15.218109745995164
,7.0,,13.044511675223642
5.0,13.0,38.0,5.859563323237554
12.0,22.0,108.0,10.753099341778938
,39.0,44.0,9.047577436449604
8.0,20.0,119.0,16.65896854274652
0.0,15.0,71.0,-7.023795708193555
10.0,17.0,106.0,19.721642805860817
10.0,23.0,80.0,19.49364261681552
14.0,25.0,92.0,17.098891883580553
,24.0,125.0,9.978377583719036
15.0,40.0,132.0,6.2940289476787745
11.0,28.0,81.0,11.409165570829337
11.0,14.0,,11.954653198225202
15.0,0.0,33.0,16.5907991519469
14.0,24.0,123.0,13.300595628306176
13.0,6.0,130.0,24.890252188782554
13.0,8.0,52.0,10.79270987848259
14.0,,,12.125988275471789
13.0,0.0,,23.05113307370426
2.0,7.0,44.0,16.649199004640593
11.0,23.0,72.0,9.044854029722835
6.0,,,6.977718182243125
3.0,16.0,,10.537516257940563
15.0,7.0,42.0,16.93064139912355
8.0,,61.0,-1.687358753240198
2.0,34.0,100.0,0.11919949910489036
4.0,32.0,88.0,9.042644282474413
