Time,Demand
1,120
2,135
3,160
4,190
5,220
6,245
7,260
8,255
9,230
10,200
11,170
12,150
13,140
14,150
15,175
16,210
17,250
18,285
19,310
20,320
21,310
22,280
23,240
24,200
25,170
26,155
27,160
28,185
29,220
30,260
31,295
32,320
33,330
34,315
35,280
36,235
37,190
38,160
39,150
40,165
41,200
42,245
43,290
44,325
45,345
46,340
47,310
48,265
49,220
50,185
51,170
52,180
53,210
54,255
55,305
56,345
57,370
58,365
59,335
60,285
61,235
62,200
63,185
64,195
65,225
66,270
67,320
68,360
69,390
70,385
71,350
72,300
73,250
74,215
75,200
76,210
77,240
78,290
79,340
80,380
81,410
82,405
83,370
84,315
85,265
86,230
87,215
88,225
89,255
90,305
91,355
92,395
93,430
94,425
95,385
96,330
97,280
98,245
99,230
100,240
101,270
102,320
103,370
104,415
105,450
106,445
107,405
108,350
109,300
110,265
111,250
112,260
113,290
114,340
115,390
116,435
117,470
118,465
119,420
120,365
121,315
122,280
123,265
124,275
125,305
126,355
127,405
128,450
129,490
130,485
131,440
132,385
133,335
134,300
135,285
136,295
137,325
138,375
139,425
140,470
141,510
142,505
143,455
144,400
145,350
146,315
147,300
148,310
149,340
150,390
